index,Subspecialty,Question Number,Question Text,Question Images,Alternatives,Correct Alternative,Explanation,Reference,Question Link
1,"Bone, joints & soft tissue",1, A 45 year old man presented with pain and swelling with palpable nodules in the left knee. Biopsy showed multiple nodules of mature hyaline cartilage within the synovium. Which of the following genes is affected in the pathogenesis of this disease?   ABCG2 ANKH FGF23 FN1 IDH1,['https://www.pathologyoutlines.com/imgau/jointssynovialosteochondromatosisUdDin12.jpg'],"['A) ABCG2', 'B) ANKH', 'C) FGF23', 'D) FN1', 'E) IDH1']",D,<i>FN1</i>,https://www.pathologyoutlines.com/topic/jointssynovialosteochondromatosis.html,https://www.pathologyoutlines.com/review-questions?sid=1
2,"Bone, joints & soft tissue",2,Which of the following is true regarding synovial chondromatosis?   It is a metaplastic process rather than neoplastic It is twice as common in females than in males Knee is the most common site of involvement Most commonly occurs in adolescence There is a high risk of malignant potential,[],"['A) It is a metaplastic process rather than neoplastic', 'B) It is twice as common in females than in males', 'C) Knee is the most common site of involvement', 'D) Most commonly occurs in adolescence', 'E) There is a high risk of malignant potential']",C,Knee is the most common site of involvement,https://www.pathologyoutlines.com/topic/jointssynovialosteochondromatosis.html,https://www.pathologyoutlines.com/review-questions?sid=1
3,"Bone, joints & soft tissue",3, A 30 year old woman presented with pain and swelling of right ankle with palpable nodules. Radiographs revealed multiple radiopaque masses located on the anterior aspect of the ankle joint. Biopsy showed multiple nodules of mature hyaline cartilage within the synovium. Which of the following is an additional characteristic histological feature seen in synovial chondromatosis?   Clustering of chondrocytes Concentric layering of chondrocytes Multinucleation of chondrocytes Myxoid degeneration Permeation of bone,['https://www.pathologyoutlines.com/imgau/jointssynovialosteochondromatosisUdDin10.jpg'],"['A) Clustering of chondrocytes', 'B) Concentric layering of chondrocytes', 'C) Multinucleation of chondrocytes', 'D) Myxoid degeneration', 'E) Permeation of bone']",A,Clustering of chondrocytes,https://www.pathologyoutlines.com/topic/jointssynovialosteochondromatosis.html,https://www.pathologyoutlines.com/review-questions?sid=1
4,"Bone, joints & soft tissue",4,Which of the following is true about the epidemiology of osteochondromas?   Congenital lesions are relatively common Female predominance Most lesions arise in long bones Most common in the elderly Multiple lesions are more common,[],"['A) Congenital lesions are relatively common', 'B) Female predominance', 'C) Most lesions arise in long bones', 'D) Most common in the elderly', 'E) Multiple lesions are more common']",C,Most lesions arise in long bones,https://www.pathologyoutlines.com/topic/boneosteochondroma.html,https://www.pathologyoutlines.com/review-questions?sid=1
5,"Bone, joints & soft tissue",5,Which of the following is true regarding secondary chondrosarcoma?   Most common subtype is clear cell chondrosarcoma Patients with multiple osteochondromas have a higher overall risk of developing chondrosarcoma Risk of malignancy in patients with multiple hereditary exostosis is near 50% Risk of malignancy in solitary osteochondromas is high,[],"['A) Most common subtype is clear cell chondrosarcoma', 'B) Patients with multiple osteochondromas have a higher overall risk of developing chondrosarcoma', 'C) Risk of malignancy in patients with multiple hereditary exostosis is near 50%', 'D) Risk of malignancy in solitary osteochondromas is high']",B,Patients with multiple osteochondromas have a higher overall risk of developing chondrosarcoma,https://www.pathologyoutlines.com/topic/boneosteochondroma.html,https://www.pathologyoutlines.com/review-questions?sid=1
6,"Bone, joints & soft tissue",6,"The 8th edition AJCC staging criteria incorporate a certain size cutoff for tumors of bone, with tumors smaller than or equal to the cutoff having a better prognosis than tumors larger than the cutoff. What is this cutoff?   2 cm 5 cm 8 cm 10 cm",[],"['A) 2 cm', 'B) 5 cm', 'C) 8 cm', 'D) 10 cm']",C,. 8 cm,https://www.pathologyoutlines.com/topic/bonestaging.html,https://www.pathologyoutlines.com/review-questions?sid=1
7,"Bone, joints & soft tissue",7,Combined TNM staging groups are used for primary bone tumors that arise in which of the following locations?   Facial bones Pelvis Spine,[],"['A) Facial bones', 'B) Pelvis', 'C) Spine']",A,". Facial bones. While all primary bone tumors should undergo TNM staging, an overall combined stage (e.g. Stage IIB) is determined for tumors of the appendicular skeleton, trunk, skull, and facial bones. Tumors of the pelvis or spine do not have combined stage groupings.",https://www.pathologyoutlines.com/topic/bonestaging.html,https://www.pathologyoutlines.com/review-questions?sid=1
8,"Bone, joints & soft tissue",8,What is the underlying genetic mutation in patients with McCune-Albright syndrome?   GNAS1 p53 PTH1R SDH,[],"['A) GNAS1', 'B) p53', 'C) PTH1R', 'D) SDH']",A,. Mutations in <i>GNAS1</i> are seen in patients with McCune-Albright and Mazabraud syndrome,https://www.pathologyoutlines.com/topic/bonefibrousdysplasia.html,https://www.pathologyoutlines.com/review-questions?sid=1
9,"Bone, joints & soft tissue",9,"  Histologically, fibrous dysplasia frequently shows   Lamellar bone trabeculae Numerous mitotic figures Osteoblastic rimming Woven bone trabeculae",['https://www.pathologyoutlines.com/imgau/bonefibrousdysplasiaMantilla05b.jpg'],"['A) Lamellar bone trabeculae', 'B) Numerous mitotic figures', 'C) Osteoblastic rimming', 'D) Woven bone trabeculae']",D,. Woven bone trabeculae. The trabeculae in fibrous dysplasia are composed of woven bone with various phases of mineralization. Mature lamellar bone can be seen at the periphery but should not be part of the lesion itself.,https://www.pathologyoutlines.com/topic/bonefibrousdysplasia.html,https://www.pathologyoutlines.com/review-questions?sid=1
10,"Bone, joints & soft tissue",10,"H&E     CD163     Factor XIIIA    A 37 year old man presented with abdominal pain. PET CT demonstrated soft tissue thickening around the kidneys with perinephric fat stranding, along with FDG avid metaphyseal lesions bilaterally in the distal femur and proximal tibia. Core biopsy of the perinephric soft tissue demonstrated the staining shown above. In conjunction with the histopathology and radiology, which of the following would be the best diagnosis?   Erdheim-Chester disease Follicular dendritic cell sarcoma Juvenile xanthogranuloma Langerhans cell histiocytosis Reactive process","['https://www.pathologyoutlines.com/imgau/boneerdheimRavindran07.jpg', 'https://www.pathologyoutlines.com/imgau/boneerdheimRavindran08.jpg', 'https://www.pathologyoutlines.com/imgau/boneerdheimRavindran09.jpg']","['A) Erdheim-Chester disease', 'B) Follicular dendritic cell sarcoma', 'C) Juvenile xanthogranuloma', 'D) Langerhans cell histiocytosis', 'E) Reactive process']",A,. Erdheim-Chester disease,https://www.pathologyoutlines.com/topic/boneerdheim.html,https://www.pathologyoutlines.com/review-questions?sid=1
